,ID,Link,Title,Price,Miles,Score,Motor,Drive_Type,Transmission,Color,Prior_Use,PreOwner_Amount,Features
0,1,https://www.carmax.com//car/24303916,2023 Tesla Model 3 ,"44,998",4K,7,Electric,Rear Wheel Drive,Automatic,White/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
1,2,https://www.carmax.com//car/23479432,2019 Chevrolet Bolt EV Premier,"25,998",31K,1,Electric,"Automatic
T",Silve,"Leased vehicle
Pri",Leased vehicle,1,"['Bose Sound System', 'Satellite Radio Ready', 'Air Conditioning', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather Seats', 'Rear Seat Heaters', 'AM/FM Stereo', 'Auxiliary Audio Input', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Remote Start', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Parking Sensors', 'Apple CarPlay', 'Lane Departure Warning', 'Blind Spot Monitor', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
2,3,https://www.carmax.com//car/24011334,2020 Tesla Model Y Long Range,"47,998",34K,8,Electric,All Wheel Drive,Automatic,White/Black,None,2 ,"['Satellite Radio Ready', 'Skylight(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Cross-Traffic Alert', 'Parking Sensors']"
3,4,https://www.carmax.com//car/23064599,2022 Hyundai Ioniq 5 SE,"47,998",7K,6,Electric,All Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Cloth Seats', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Apple CarPlay', 'Parking Sensors', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
4,5,https://www.carmax.com//car/24000453,2019 Volkswagen Golf Electric SE,"21,998",24K,5,Electric,Front Wheel Drive,Automatic,Gray/Black,Leased vehicle,1,"['Air Conditioning', 'Cloth Seats', 'CD Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Apple CarPlay', 'Automated Cruise Control', 'Android Auto', 'Apple CarPlay']"
5,6,https://www.carmax.com//car/23937611,2020 Jaguar I-Pace SE,"52,998",36K,9,Electric,All Wheel Drive,Automatic,Black/Gray,Leased vehicle,2 ,"['A/C Seat(s)', 'Air Conditioning', 'Automated Parking', 'Front Seat Heaters', 'Heated Steering Wheel', 'Power Hatch/Deck Lid', 'Rear Air Conditioning', 'Rear Seat Heaters', 'Cold Weather Package', 'Driver Assistance Package', 'Leather Seats', 'Memory Seat(s)', 'Skylight(s)', 'Auxiliary Audio Input', 'Meridian Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Lane Departure Warning', 'Automated Cruise Control', 'Parking Sensors', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
6,7,https://www.carmax.com//car/23974343,2022 Audi e-tron Premium,"58,998",17K,9,Electric,All Wheel Drive,Automatic,Black/Black,None,1,"['Air Conditioning', 'Rear Air Conditioning', 'Satellite Radio Ready', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Parking Sensors', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
7,8,https://www.carmax.com//car/24301428,2021 Tesla Model 3 Standard Range Plus,"39,998",19K,A,Electric,Rear Wheel Drive,Automatic,Blue/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
8,9,https://www.carmax.com//car/24302326,2023 Tesla Model 3 ,"43,998",8K,A,Electric,Rear Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Auxiliary Audio Input', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
9,10,https://www.carmax.com//car/24302482,2021 Tesla Model 3 Performance,"45,998",13K,A,Electric,All Wheel Drive,Automatic,White/Black,None,1,"['Automated Parking', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
